"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","80.26503886014702","71.53844894239953","80.26503886014702","84.60251023744061","87.07148312706434","88.73452096147041","90.19526812908823","91.32862078685484","92.21159525257936","92.99343143188639","93.6243767161707","94.10355301606737","94.83399451881778","95.11152619349633","95.61557559628115","95.96848413605741","96.16949552536306","96.47101198449823","96.64689774566317","96.8996870601276","97.17683802414628","97.2774712600587","97.53000422303282","97.60601816960514","97.73216030158486","97.88317297918606"
"90","79.4862532169983","70.57730037174203","79.48625321699832","83.81487526067275","86.32500052308913","88.11103962225988","89.6171126873531","90.87225988464141","91.82169111236651","92.6033659043514","93.27345880498538","93.74817267521743","94.5295336137091","94.80887019716972","95.28327370116962","95.67403001834299","95.89687471666004","96.2309874528348","96.42605437337406","96.67823739878224","96.98519483327405","97.06899545958612","97.34848896979335","97.4326017059681","97.572426924445","97.739717810837"
"80","79.19954621447337","70.20695008359205","79.19954621447337","83.34982535228086","85.86186659103576","87.58891111376485","89.12765952153492","90.41503711885997","91.42135628134702","92.26984814107156","92.96149291457687","93.43340000796114","94.25024381020617","94.56471917044821","95.03623318207151","95.47609913621527","95.72688778759654","96.04017892683706","96.22827103733779","96.51228753682032","96.85781386832258","96.92070943794283","97.23538382692462","97.33012150704562","97.48755821590638","97.67584935514688"
"70","79.47875984926344","70.59558812577266","79.47875984926344","83.46991226894264","86.01982513368189","87.70795537483055","89.14401149887544","90.4732003217302","91.40874629488955","92.30677197372538","92.98999061620269","93.49386329445761","94.21331382099288","94.57304094612508","95.00419291895675","95.47131611481002","95.68663330205402","95.93766849874139","96.11701446296381","96.44206249906908","96.83724324887916","96.90918941865142","97.23320598179842","97.30540908887797","97.44930142842247","97.5926761696233"
"60","79.69747899159663","70.94607843137257","79.69747899159664","83.80042016806723","86.18522408963585","87.77485994397759","88.94642857142858","90.28501400560225","91.2906162464986","92.12745098039214","92.75595238095238","93.34278711484593","94.13865546218486","94.51540616246498","94.97584033613445","95.3532913165266","95.60434173669468","95.85504201680672","96.02240896358543","96.31617647058825","96.6512605042017","96.73494397759103","97.07002801120449","97.15406162464987","97.27941176470588","97.36309523809523"
"50","79.48737373737374","70.63535353535353","79.48737373737376","83.10656565656566","85.56666666666666","87.27474747474749","88.53030303030303","89.88636363636364","90.94444444444443","91.84898989898991","92.50353535353534","93.15808080808081","94.01313131313132","94.26515151515153","94.66818181818182","95.12171717171718","95.42323232323233","95.67424242424242","95.82525252525252","96.17828282828283","96.42979797979798","96.48030303030302","96.83232323232323","96.93333333333332","97.08383838383838","97.18434343434343"
"40","79.15822784810128","70.37104430379748","79.15822784810128","82.67325949367088","85.49287974683543","87.3132911392405","88.62974683544304","90.13924050632912","91.33386075949367","92.2128164556962","92.96598101265822","93.59335443037973","94.40822784810126","94.53481012658229","95.0371835443038","95.35126582278481","95.66455696202532","95.91613924050633","95.97943037974683","96.42009493670886","96.60838607594937","96.67167721518987","96.98655063291139","97.1123417721519","97.1748417721519","97.3006329113924"
"30","79.58333333333333","70.83333333333333","79.58333333333333","83.16666666666667","86","87.58333333333334","88.91666666666666","90.41666666666667","91.66666666666667","92.66666666666666","93.66666666666666","94.33333333333333","95.25000000000001","95.41666666666667","95.91666666666666","96.24999999999999","96.41666666666666","96.58333333333334","96.66666666666666","97.08333333333333","97.16666666666666","97.25","97.58333333333333","97.74999999999999","97.83333333333333","97.91666666666666"
"20","79.25","70.625","79.25","82.875","85.875","87.125","88.5","90","91.5","92.375","93.125","94","95","95.25","95.875","96.375","96.5","96.625","96.75","97.375","97.5","97.5","97.875","98","98","98"
"10","76","67.75","76","80.25","84.25","85","87.25","89.25","90.75","92","92.75","93.5","95","95.5","96.5","96.5","96.75","97","97","97.5","97.5","97.5","98.25","98.5","98.5","98.5"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
