"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","95.86802877580506","87.09110154179794","92.56837960462552","94.79732200499589","95.92544428438748","96.63638676277057","97.09633399996162","97.44492968803074","97.74199540745107","97.98422424978226","98.20850231732788","98.3420687036323","98.441794900297","98.57617558764713","98.67567162639034","98.75070963778676","98.84031678226754","98.88589380435295","98.94889576757001","99.00995286303487","99.06298506985111","99.10649504841233","99.15663527026734","99.19420455554578","99.2280635606395","99.27354496163628"
"90","96.05587447684107","87.4369006124164","92.85482597763287","95.00863205207963","96.11286703700695","96.8152501886466","97.25574651270038","97.58662253652841","97.88388865310696","98.1188338627839","98.33805869779621","98.46570124891736","98.5595978817279","98.69128580079638","98.79433411474514","98.86546110814095","98.9562017807562","98.99976474185144","99.06240130832691","99.12110364031747","99.1712646093598","99.21809399567996","99.26362734059835","99.29642522075727","99.32523858941849","99.35816872333287"
"80","95.8769017664467","87.19232688248574","92.64119257698522","94.80032302588933","95.93528976050088","96.64255208624874","97.1041447007326","97.45180813404022","97.75644754450431","97.99318111688159","98.21110394547227","98.34598541687392","98.44422589936565","98.5822057762408","98.6867022522573","98.76514538297431","98.85602367986246","98.90132081454136","98.96779460523238","99.02977777919277","99.08444562448003","99.13717689319603","99.18839926574363","99.22146912548868","99.25382245873486","99.29082500983296"
"70","95.83533105404209","87.2512051078615","92.60518830954186","94.75889583049648","95.89487749980027","96.59933066393779","97.05699535044263","97.39960818610183","97.7155539173116","97.9602207594904","98.17320410276025","98.30942100764844","98.40996179706347","98.55861637658143","98.66377421075326","98.73726770627874","98.82955672073666","98.87654095092509","98.94780913347239","99.00743176381951","99.05838603237314","99.11410623363179","99.1680028321436","99.20124103913548","99.23812742320817","99.269216217109"
"60","95.77349142273185","87.2809647219986","92.55146110362769","94.6688796532151","95.82986374143256","96.53402611901613","97.02632823974228","97.37495741111873","97.70497130840238","97.94960669417752","98.1685951865109","98.30373763199613","98.41795488550146","98.56214703332556","98.65846662597025","98.72586193232328","98.82307911001224","98.87235422250406","98.94470455581127","99.0006585441862","99.04928911718774","99.10878291762415","99.16074387215986","99.1912849616107","99.22666380611906","99.25741638496135"
"50","95.68097720019323","87.33310455731917","92.48052711053397","94.59639452262996","95.74247106183809","96.4472855478751","96.95033778936465","97.30599697318397","97.63980436414644","97.88639615747728","98.12058348383907","98.24914985266905","98.36032729986624","98.49537811277924","98.5948189494629","98.6630540138873","98.76421327500294","98.81990945266678","98.88138484987505","98.94217367217574","98.99377311513966","99.04006233980233","99.09577373216725","99.12903276155868","99.16530849592723","99.19616935963374"
"40","95.76048531507575","87.65599220068148","92.65513643370316","94.72173328966961","95.82172860050204","96.46186747973236","96.9214253065782","97.28133168602552","97.5806200641197","97.81135252267745","98.02966461299788","98.16638012308138","98.28641317331967","98.41483719442479","98.51924454516643","98.58536781258512","98.69552679325803","98.75719548197358","98.83403232464751","98.90604015661036","98.959172661007","99.00542666543149","99.06661138468756","99.10390352037045","99.14123958578735","99.17192775194695"
"30","95.92429342987234","87.92778078553403","92.95535317871341","94.90814285248372","95.96530833037826","96.49190434891885","96.96596363729353","97.26153672615057","97.54119945535373","97.7875228148052","98.0055776078669","98.13503040298345","98.26891947729999","98.40348865337245","98.48187087385432","98.54455959806214","98.62084900289739","98.66660684292881","98.74264242974076","98.81181270039565","98.85074360672267","98.89651235477136","98.94708711896425","98.99132099008041","99.01089338505048","99.04702172048951"
"20","96.16732774922495","88.70603774139013","93.33669763268654","95.21963639947295","96.21282646451381","96.68474707568332","97.10099508962442","97.3661149792909","97.63722983498039","97.86151559974593","98.05467412335615","98.16447317230255","98.2945826942682","98.41454554484962","98.4929771082887","98.53908230244485","98.59067668748945","98.60430623635139","98.6577172778662","98.73647822206942","98.77273282204216","98.79477230734999","98.85379312161818","98.89625890171514","98.9180369737181","98.94946930949826"
"10","96.23411749646927","89.7158303927078","93.69465487301466","95.3143406330166","96.3059297421946","96.78755862056259","97.1202644522803","97.36720048725981","97.61815424364833","97.76351612814067","97.92272697658076","98.0387703534937","98.17107464340667","98.23706843222655","98.29711707923171","98.31029230979821","98.3530484666848","98.37939892781789","98.42095157806618","98.46782499450482","98.5114046033018","98.53978202298359","98.58260152232482","98.65144572160379","98.66462095217032","98.69629217949372"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
