"% Kept,""Avg top 1% Recall"",""Recall@1"",""Recall@2"",""Recall@3"",""Recall@4"",""Recall@5"",""Recall@6"",""Recall@7"",""Recall@8"",""Recall@9"",""Recall@10"",""Recall@11"",""Recall@12"",""Recall@13"",""Recall@14"",""Recall@15"",""Recall@16"",""Recall@17"",""Recall@18"",""Recall@19"",""Recall@20"",""Recall@21"",""Recall@22"",""Recall@23"",""Recall@24"",""Recall@25"""
"100,""85.14504504504505"",""70.96846846846849"",""80.51081081081082"",""85.14504504504504"",""87.56396396396396"",""89.77927927927928"",""90.58558558558556"",""91.72792792792794"",""92.53513513513512"",""93.20900900900901"",""93.88198198198197"",""94.28468468468468"",""94.68558558558559"",""94.95495495495496"",""95.29099099099099"",""95.56036036036035"",""95.69549549549549"",""95.69549549549549"",""95.76306306306306"",""95.89729729729729"",""96.03153153153153"",""96.23153153153153"",""96.23153153153153"",""96.36576576576576"",""96.50090090090092"",""96.56846846846847"""
"90,""84.71466198419665"",""69.95829675153644"",""79.89683933274804"",""84.71466198419665"",""87.38476733977173"",""89.75636523266022"",""90.64640035118524"",""91.75921861281823"",""92.50219490781384"",""93.24626865671641"",""93.9157155399473"",""94.2855575065847"",""94.58077260755047"",""94.8781826163301"",""95.09986830553115"",""95.39727831431078"",""95.54653204565406"",""95.54653204565406"",""95.62115891132571"",""95.76931518876206"",""95.91747146619839"",""96.13805970149251"",""96.13805970149251"",""96.28621597892887"",""96.36084284460051"",""96.43546971027214"""
"80,""84.25"",""69.41666666666667"",""79.08333333333334"",""84.25000000000001"",""87.08333333333336"",""89.5"",""90.41666666666667"",""91.58333333333334"",""92.33333333333334"",""93"",""93.66666666666666"",""94.08333333333331"",""94.41666666666666"",""94.66666666666667"",""94.83333333333333"",""95.16666666666666"",""95.33333333333333"",""95.33333333333333"",""95.41666666666666"",""95.58333333333333"",""95.75"",""95.99999999999999"",""95.99999999999999"",""96.16666666666666"",""96.25"",""96.33333333333334"""
"70,""84.15820029027577"",""69.86393323657475"",""79.2089985486212"",""84.15820029027577"",""87.01923076923077"",""89.49564586357039"",""90.44992743105949"",""91.40420899854864"",""92.16981132075472"",""92.84107402031933"",""93.51052249637158"",""93.98584905660377"",""94.17452830188681"",""94.46117561683602"",""94.65166908563137"",""94.93831640058056"",""95.13062409288827"",""95.13062409288827"",""95.2267779390421"",""95.41727140783746"",""95.60776487663281"",""95.79644412191584"",""95.79644412191584"",""95.98693759071118"",""96.08309143686503"",""96.17924528301889"""
"60,""83.44444444444444"",""68.55555555555557"",""78.22222222222221"",""83.44444444444446"",""86.11111111111113"",""88.77777777777779"",""89.88888888888889"",""91.00000000000001"",""91.77777777777779"",""92.55555555555557"",""93.00000000000001"",""93.55555555555557"",""93.7777777777778"",""94.11111111111114"",""94.33333333333336"",""94.55555555555557"",""94.7777777777778"",""94.7777777777778"",""94.8888888888889"",""95.11111111111111"",""95.33333333333334"",""95.44444444444446"",""95.44444444444446"",""95.66666666666667"",""95.77777777777779"",""95.8888888888889"""
"50,""82.48221906116643"",""66.61095305832148"",""77.28662873399715"",""82.48221906116642"",""85.02489331436696"",""88.22546230440966"",""89.29231863442388"",""90.6294452347084"",""91.43314366998578"",""92.37553342816501"",""92.91607396870555"",""93.44950213371266"",""93.71266002844949"",""94.11450924608819"",""94.24608819345661"",""94.51280227596018"",""94.78307254623044"",""94.78307254623044"",""94.78307254623044"",""95.049786628734"",""95.31650071123755"",""95.44807965860598"",""95.44807965860598"",""95.71479374110953"",""95.84992887624466"",""95.9850640113798"""
"40,""82.99999999999999"",""65.99999999999997"",""77.66666666666666"",""82.99999999999997"",""85.83333333333333"",""89.3333333333333"",""90.33333333333331"",""91.66666666666666"",""92.16666666666667"",""93.16666666666667"",""93.50000000000001"",""94.16666666666667"",""94.50000000000001"",""95.00000000000001"",""95.00000000000001"",""95.33333333333334"",""95.66666666666667"",""95.66666666666667"",""95.66666666666667"",""96.00000000000001"",""96.33333333333334"",""96.50000000000003"",""96.50000000000003"",""96.66666666666669"",""96.83333333333334"",""97.00000000000003"""
"30,""82.60869565217394"",""68.47826086956522"",""79.7826086956522"",""82.60869565217394"",""85.21739130434784"",""88.69565217391306"",""90.00000000000003"",""91.5217391304348"",""92.17391304347828"",""93.2608695652174"",""93.47826086956523"",""94.13043478260872"",""94.56521739130436"",""95.00000000000001"",""95.00000000000001"",""95.43478260869567"",""95.43478260869567"",""95.43478260869567"",""95.43478260869567"",""95.86956521739133"",""96.08695652173915"",""96.30434782608697"",""96.30434782608697"",""96.5217391304348"",""96.5217391304348"",""96.73913043478262"""
"20,""80.33333333333334"",""66.66666666666666"",""77.33333333333333"",""80.33333333333334"",""82.66666666666667"",""86.66666666666669"",""88.00000000000001"",""89.33333333333334"",""90"",""91.33333333333333"",""91.66666666666666"",""92.66666666666666"",""93.33333333333333"",""93.99999999999999"",""93.99999999999999"",""94.33333333333331"",""94.33333333333331"",""94.33333333333331"",""94.33333333333331"",""94.99999999999999"",""95.33333333333333"",""95.66666666666666"",""95.66666666666666"",""95.99999999999999"",""95.99999999999999"",""95.99999999999999"""
"10,""75.625"",""61.25"",""72.5"",""75.625"",""76.25"",""81.875"",""83.75"",""85.625"",""86.875"",""88.125"",""88.75"",""90"",""90.625"",""91.25"",""91.25"",""91.875"",""91.875"",""91.875"",""91.875"",""93.125"",""93.75"",""94.375"",""94.375"",""95"",""95"",""95"""
