"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","85.75135135135136","72.91261261261262","81.71711711711711","85.75135135135136","88.10630630630631","89.7855855855856","91.52792792792793","92.73963963963963","93.21081081081081","94.22162162162162","94.55855855855857","94.96126126126128","95.16216216216216","95.49909909909911","95.76846846846847","96.17117117117118","96.23873873873875","96.37387387387389","96.44054054054054","96.84324324324325","96.9765765765766","97.11081081081082","97.17747747747748","97.38018018018018","97.5144144144144","97.5144144144144"
"90","85.16242317822653","72.39574187884108","81.00746268656717","85.1624231782265","87.68876207199298","89.17032484635642","90.94600526777876","92.28380158033364","92.80399473222127","93.92010535557507","94.29214223002633","94.73661106233538","94.95829675153644","95.33033362598772","95.62774363476733","95.99758560140472","96.07221246707637","96.22146619841966","96.29499561018437","96.73946444249341","96.8865232660228","97.03467954345916","97.10820895522387","97.3320895522388","97.48024582967514","97.48024582967514"
"80","84.41666666666666","72.08333333333334","80.5","84.41666666666666","87.00000000000001","88.33333333333334","90.33333333333334","91.58333333333333","92.16666666666666","93.25","93.66666666666666","94.16666666666666","94.41666666666666","94.83333333333333","95.16666666666667","95.58333333333334","95.66666666666667","95.83333333333333","95.91666666666666","96.41666666666666","96.49999999999999","96.66666666666666","96.75","96.99999999999999","97.16666666666666","97.16666666666666"
"70","84.06204644412192","71.74528301886792","79.86393323657475","84.06204644412192","86.54934687953558","88.07510885341074","90.07256894049348","91.21915820029028","91.88860667634252","92.94085631349785","93.41981132075472","93.80079825834545","94.08563134978229","94.56458635703919","94.94738751814224","95.3265602322206","95.42271407837447","95.61502177068216","95.70936139332366","96.18650217706823","96.28084179970975","96.4713352685051","96.56567489114661","96.85413642960816","96.950290275762","96.950290275762"
"60","83.44444444444444","70.55555555555556","79.2222222222222","83.44444444444443","85.77777777777776","87.33333333333331","89.33333333333334","90.33333333333334","91.11111111111111","92.11111111111111","92.66666666666666","93.11111111111111","93.44444444444443","93.88888888888889","94.33333333333334","94.77777777777779","94.88888888888889","95.11111111111111","95.22222222222223","95.7777777777778","95.8888888888889","96.11111111111111","96.22222222222224","96.33333333333334","96.44444444444446","96.44444444444446"
"50","82.75604551920341","69.38122332859174","78.34637268847794","82.7560455192034","85.0320056899004","86.63584637268846","88.50640113798008","89.71194879089616","90.65078236130867","91.45448079658607","92.12660028449503","92.66002844950212","93.0583214793741","93.4637268847795","94.00071123755335","94.39544807965862","94.53058321479375","94.80085348506402","94.93243243243244","95.46586059743954","95.46586059743954","95.7325746799431","95.86415362731152","95.99928876244665","96.1344238975818","96.1344238975818"
"40","82.83333333333334","68.83333333333333","78.50000000000001","82.83333333333333","84.66666666666666","86.16666666666666","88.33333333333333","89.49999999999999","90.66666666666667","91.33333333333333","91.99999999999999","92.5","92.83333333333334","93.33333333333334","94.00000000000001","94.33333333333334","94.5","94.83333333333334","95","95.50000000000001","95.50000000000001","95.83333333333334","96.00000000000001","96.00000000000001","96.16666666666667","96.16666666666667"
"30","83.47826086956522","68.69565217391305","78.91304347826087","83.47826086956522","85.21739130434784","87.1739130434783","88.9130434782609","89.56521739130437","90.6521739130435","91.52173913043481","92.39130434782611","93.04347826086959","93.04347826086959","93.69565217391306","94.34782608695653","94.78260869565219","95.00000000000001","95.43478260869566","95.6521739130435","95.86956521739133","95.86956521739133","96.30434782608697","96.5217391304348","96.5217391304348","96.73913043478262","96.73913043478262"
"20","82.00000000000001","67","78.00000000000003","82.00000000000003","83.33333333333334","85.66666666666669","87.33333333333334","87.66666666666669","89.00000000000001","90.00000000000001","91.33333333333334","92.33333333333333","92.33333333333333","92.33333333333333","92.99999999999999","93.66666666666666","93.99999999999997","94.66666666666666","94.99999999999997","95.33333333333331","95.33333333333331","95.99999999999997","96.33333333333331","96.33333333333331","96.33333333333331","96.33333333333331"
"10","83.75","68.125","80","83.75","86.25","88.125","90","90","91.875","92.5","94.375","94.375","94.375","94.375","95","95","95","95.625","96.25","96.875","96.875","96.875","96.875","96.875","96.875","96.875"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
