"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","92.7797202797203","80.5969030969031","87.81968031968032","90.90659340659343","92.7797202797203","93.23010323010324","94.19580419580421","94.96836496836497","95.61272061272062","96.19297369297371","96.51598401598403","96.7732267732268","96.90143190143192","97.16117216117217","97.29104229104229","97.54828504828505","97.61322011322012","97.80552780552782","97.93456543456544","98.06360306360308","98.1934731934732","98.38744588744588","98.45154845154845","98.515651015651","98.70962370962371","98.77372627372628"
"90","92.70120724346079","80.08953722334005","87.60362173038229","90.85513078470825","92.70120724346079","93.19617706237425","94.25754527162978","94.96579476861167","95.6036217303823","96.17002012072436","96.52515090543258","96.80784708249499","96.94869215291752","97.2344064386318","97.37726358148892","97.65995975855131","97.65995975855131","97.80080482897384","97.94265593561367","98.08450704225353","98.08450704225353","98.22736418511067","98.29778672032195","98.36820925553322","98.58148893360162","98.65191146881288"
"80","93.12980030721965","80.34178187403992","87.85970302099334","91.12647209421402","93.12980030721965","93.6879160266257","94.64413722478243","95.28289810547878","95.76164874551972","96.40040962621609","96.80107526881721","97.11981566820276","97.11981566820276","97.36175115207374","97.52304147465438","97.68177163338453","97.68177163338453","97.84050179211468","98.0005120327701","98.16052227342549","98.16052227342549","98.16052227342549","98.23988735279056","98.23988735279056","98.48054275473628","98.55990783410137"
"70","92.85690235690237","79.84511784511785","87.8232323232323","90.92929292929293","92.85690235690237","93.31313131313132","94.31818181818181","95.05050505050505","95.50841750841752","96.24074074074073","96.6094276094276","96.97474747474749","96.97474747474749","97.15993265993265","97.25252525252526","97.43434343434345","97.43434343434345","97.61616161616163","97.79966329966331","97.98316498316498","97.98316498316498","97.98316498316498","98.07407407407409","98.07407407407409","98.35016835016837","98.44107744107745"
"60","92.5531914893617","79.25531914893618","87.34042553191487","90.4255319148936","92.5531914893617","93.08510638297872","94.14893617021275","94.89361702127658","95.31914893617022","96.06382978723404","96.48936170212767","96.91489361702129","96.91489361702129","97.1276595744681","97.2340425531915","97.4468085106383","97.4468085106383","97.65957446808511","97.87234042553192","97.97872340425532","97.97872340425532","97.97872340425532","98.08510638297874","98.08510638297874","98.40425531914894","98.51063829787235"
"50","92.30769230769234","78.58974358974358","86.53846153846156","89.87179487179489","92.30769230769234","92.94871794871798","93.974358974359","94.87179487179489","95.38461538461542","96.02564102564105","96.53846153846156","97.05128205128207","97.05128205128207","97.30769230769234","97.43589743589746","97.56410256410258","97.56410256410258","97.82051282051285","98.0769230769231","98.20512820512822","98.20512820512822","98.20512820512822","98.20512820512822","98.20512820512822","98.46153846153848","98.46153846153848"
"40","91.28528225806451","76.22479838709678","84.64213709677418","88.26612903225805","91.2852822580645","92.07157258064514","93.33165322580643","94.44052419354837","95.07560483870967","95.71068548387095","96.3508064516129","96.82459677419354","96.82459677419354","96.98588709677418","97.14717741935483","97.30342741935483","97.30342741935483","97.45967741935483","97.77721774193547","97.93346774193547","97.93346774193547","97.93346774193547","97.93346774193547","97.93346774193547","98.09475806451613","98.09475806451613"
"30","89.37500000000001","72.91666666666666","82.08333333333334","86.24999999999999","89.375","90.41666666666667","92.08333333333334","93.33333333333334","94.16666666666667","94.79166666666667","95.41666666666667","95.83333333333334","95.83333333333334","96.04166666666667","96.25000000000001","96.45833333333334","96.45833333333334","96.66666666666669","97.08333333333334","97.29166666666666","97.29166666666666","97.29166666666666","97.29166666666666","97.29166666666666","97.5","97.5"
"20","88.75","73.75","82.5","86.875","88.75","90","91.875","93.125","93.75","94.375","95","95.3125","95.3125","95.625","95.9375","96.25","96.25","96.25","96.875","97.1875","97.1875","97.1875","97.1875","97.1875","97.5","97.5"
"10","86.25","72.5","80","84.375","86.25","88.125","90","90.625","90.625","91.875","93.125","93.75","93.75","94.375","95","95.625","95.625","95.625","95.625","96.25","96.25","96.25","96.25","96.25","96.25","96.25"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
