"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","96.54477236018052","89.7981432914282","94.1182950953289","95.7368511175204","96.58408602194824","97.15641395745365","97.56071903394974","97.80323185789928","98.01896192315378","98.20729985705128","98.37002090824635","98.49071564606948","98.59332636535358","98.67739084331265","98.73011313904811","98.81289070168393","98.87036464995995","98.9301059939797","98.98419108731716","99.0376893378929","99.08502926176693","99.12947567588535","99.16596445388257","99.1960566487156","99.22877401131865","99.25719820933672"
"90","96.95457241114059","90.57629789256283","94.63392397102908","96.18635111132325","96.99154552790945","97.51517415760082","97.88257388234783","98.10187713655964","98.30063053703894","98.4716838014285","98.61322129420249","98.71587506874609","98.81025991029219","98.88235704294051","98.92212681152395","98.99861156184274","99.05039269958817","99.10082029266033","99.13812656871754","99.1819324126409","99.21830144602546","99.25904209737118","99.29086539716513","99.31156717263026","99.33847520182154","99.36132860588201"
"80","97.19580679897368","91.10115482346977","95.00176584153058","96.48969956194","97.23355947241508","97.70833828713072","98.0437360092346","98.25366179517707","98.43214459407092","98.59762758490095","98.72781023170566","98.81990490795268","98.90274034467913","98.97439801724153","99.01550814183149","99.08604977996441","99.13657850991514","99.17946687931328","99.21564001970718","99.25286938258422","99.28021752195733","99.31985229951066","99.34366679602958","99.36696247269944","99.38944074059465","99.41099961754655"
"70","97.29784868670352","91.4484945393646","95.2109469808748","96.63511170465983","97.33618879449968","97.78565513456537","98.09909298615595","98.29324322389581","98.46559768252216","98.6126989117727","98.73941871544123","98.82007356139192","98.90125005103064","98.96276276982547","99.0032284940259","99.07251340098965","99.12183483334873","99.16219994980044","99.19921713861677","99.23711150972377","99.26166491864797","99.30025902098936","99.32520158677927","99.34318811662024","99.36686181052661","99.38680085262077"
"60","97.35115551639596","91.72197315306278","95.32803906640069","96.7362323072983","97.3821042428556","97.80539535744474","98.11787058787185","98.32201912381869","98.49654866888727","98.63643237717085","98.76029826468525","98.83651153712118","98.90854321063","98.96439583153321","99.00361369123712","99.06284775446433","99.1042278815477","99.14906731611056","99.18967801433716","99.21538071199998","99.24131215886787","99.27870285882159","99.30531501247182","99.32622523602626","99.348225790862","99.35569585291597"
"50","97.36444306396079","92.0885156527547","95.50099656948507","96.78126235173474","97.39830576418693","97.80333883323291","98.09145879371015","98.29458786594148","98.45701922718915","98.60300760529783","98.72308207093216","98.79888369206394","98.85756126414502","98.92458704195985","98.9622821207643","99.00580380909315","99.04930311390589","99.0868927553931","99.11973190155634","99.14133888669414","99.16655624141312","99.20169627529954","99.23037491940464","99.25551142334437","99.27214794329701","99.28107755436781"
"40","97.59800643792049","92.72332117169587","95.93518344856516","97.08042950969613","97.63210007343967","97.9849665793136","98.24232441297643","98.41161632934222","98.55854256540871","98.68792156165836","98.79728382522342","98.87116458613352","98.91718044055159","98.94776114482293","98.98261456811964","99.0283912197808","99.0663052440693","99.08956050377289","99.11402630487251","99.12915093179838","99.14474609681147","99.17205670238965","99.19544997292184","99.21068431314245","99.21892240780846","99.22591865336305"
"30","97.61182791221134","93.31957506891675","96.12385530181825","97.18027584231457","97.65196968747604","97.95553987772884","98.18094888130643","98.33523993672402","98.47364145298211","98.58516625871204","98.69531430337146","98.76120130050214","98.80124760308158","98.8324073625022","98.86384454843946","98.9095704774682","98.93529378836061","98.94534053753777","98.97284288717452","98.9835255065528","99.0041424458843","99.03492390160841","99.05487136784201","99.06966249739551","99.06966249739551","99.078854518721"
"20","97.59530623430932","94.3920690670141","96.50358835743168","97.2567658561719","97.62525085795717","97.8687550130681","98.07291957766937","98.21550747936158","98.34104883752855","98.42539302906914","98.52945301206466","98.59067077980417","98.62811796530232","98.6583059737512","98.68041342651833","98.71701363290863","98.74688506083102","98.76184835840303","98.77798801584703","98.79379829252687","98.81664244229948","98.83136235507037","98.84641164860541","98.86146094214047","98.86146094214047","98.8748633318547"
"10","97.60150477541781","95.60914107850866","96.9695099586404","97.44441548789376","97.64602547211243","97.72127630823283","97.85846701607574","97.98373727721557","98.08418936136329","98.16197389566956","98.24881640099032","98.32451063429325","98.33971282340848","98.36809024309025","98.38455928129844","98.42611193154673","98.42611193154673","98.42611193154673","98.44131412066196","98.44131412066196","98.47013493752625","98.47013493752625","98.47013493752625","98.48660397573444","98.48660397573444","98.5121309849571"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
