"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","93.04195804195805","82.41092241092242","88.46653346653346","91.496003996004","93.04195804195805","93.81451881451883","94.84515484515487","95.42540792540794","96.00399600399604","96.26207126207127","96.58341658341661","96.84065934065936","97.22777222777225","97.42174492174493","97.4858474858475","97.55078255078256","97.74475524475527","97.93789543789543","98.06776556776558","98.1968031968032","98.32500832500833","98.3899433899434","98.64801864801866","98.64801864801866","98.9060939060939","98.97102897102897"
"90","93.34607645875249","82.5814889336016","88.59959758551311","91.71730382293762","93.3460764587525","94.12474849094568","95.11468812877264","95.68209255533199","96.31790744466801","96.60160965794769","96.8128772635815","96.95472837022132","97.38028169014083","97.59356136820924","97.59356136820924","97.6649899396378","97.80684104627764","97.94768611670017","98.09054325955732","98.1609657947686","98.30181086519113","98.3732394366197","98.58551307847083","98.58551307847083","98.8692152917505","98.94064386317908"
"80","93.61495135688682","82.83538146441373","89.22171018945212","92.09805427547363","93.61495135688685","94.41244239631337","95.52867383512545","96.16871479774706","96.80491551459293","97.12493599590375","97.20430107526883","97.36431131592423","97.76369687660011","98.00435227854584","98.00435227854584","98.08499743983614","98.16436251920123","98.16436251920123","98.32565284178187","98.40501792114695","98.56374807987712","98.64439324116744","98.8837685611879","98.8837685611879","99.20378904249871","99.20378904249871"
"70","93.23063973063971","82.24410774410774","88.65151515151516","91.67508417508415","93.23063973063971","94.14478114478112","95.33164983164983","95.88047138047138","96.51851851851852","96.88552188552188","96.88552188552188","97.06902356902356","97.52693602693603","97.8030303030303","97.8030303030303","97.89562289562289","97.98653198653197","97.98653198653197","98.17171717171716","98.26262626262626","98.44444444444444","98.53703703703704","98.72053872053871","98.72053872053871","99.08754208754209","99.08754208754209"
"60","93.29787234042554","81.27659574468085","88.40425531914894","91.59574468085108","93.29787234042554","94.25531914893617","95.53191489361701","96.17021276595744","96.59574468085108","97.0212765957447","97.0212765957447","97.2340425531915","97.65957446808511","97.9787234042553","97.9787234042553","98.08510638297871","98.19148936170211","98.19148936170211","98.40425531914893","98.51063829787235","98.61702127659575","98.72340425531914","98.93617021276596","98.93617021276596","99.25531914893617","99.25531914893617"
"50","92.82051282051282","81.53846153846155","87.8205128205128","90.89743589743588","92.82051282051285","93.84615384615388","95.25641025641028","95.76923076923079","96.15384615384616","96.66666666666667","96.66666666666667","96.92307692307693","97.43589743589746","97.82051282051285","97.82051282051285","97.94871794871797","98.0769230769231","98.0769230769231","98.33333333333334","98.46153846153848","98.5897435897436","98.71794871794873","98.84615384615385","98.84615384615385","99.10256410256412","99.10256410256412"
"40","93.35685483870968","81.96068548387096","88.6189516129032","91.62298387096773","93.35685483870967","94.29435483870967","95.4032258064516","96.03326612903224","96.5070564516129","96.8195564516129","96.8195564516129","96.98084677419354","97.45967741935483","97.93850806451613","97.93850806451613","97.93850806451613","97.93850806451613","97.93850806451613","98.09979838709677","98.25604838709677","98.41229838709677","98.57358870967741","98.73487903225806","98.73487903225806","98.8961693548387","98.8961693548387"
"30","93.12499999999999","81.87499999999999","88.33333333333333","91.66666666666666","93.12499999999999","94.16666666666666","95.41666666666666","96.25000000000001","96.66666666666667","97.08333333333334","97.08333333333334","97.29166666666669","97.70833333333334","97.91666666666667","97.91666666666667","97.91666666666667","97.91666666666667","97.91666666666667","98.12500000000001","98.33333333333334","98.54166666666667","98.54166666666667","98.75000000000001","98.75000000000001","98.75000000000001","98.75000000000001"
"20","92.5","81.5625","87.8125","90.9375","92.5","93.75","95.3125","95.3125","95.9375","95.9375","95.9375","96.25","96.5625","96.875","96.875","96.875","96.875","96.875","97.1875","97.5","97.8125","97.8125","98.125","98.125","98.125","98.125"
"10","91.25","81.875","86.25","88.75","91.25","92.5","93.75","93.75","94.375","94.375","94.375","95","95.625","96.25","96.25","96.25","96.25","96.25","96.875","97.5","98.125","98.125","98.125","98.125","98.125","98.125"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
