"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","87.84594395950575","73.35880406302479","81.76397840358676","85.59403375079293","87.95988588259735","89.63440813865444","90.7842685716032","91.73612616162325","92.54054760291555","93.23652943673464","93.78471201754189","94.26968243407217","94.70578936276875","95.01954954198025","95.27085460771887","95.53251156188867","95.77034165672508","95.98913396236695","96.19059240188847","96.3931049767847","96.56175965220234","96.71175654483935","96.85614622840397","96.98635320696238","97.10505018742755","97.21407475874514"
"90","87.85070722601166","73.31711140535411","81.69510864323632","85.54981959681761","87.96800022730542","89.66133284345294","90.8272180262661","91.78005700731492","92.5660053472545","93.24968154091155","93.79343943769574","94.26668295497561","94.70532616789794","95.01832054712482","95.2561960534509","95.51447181316638","95.753603043559","95.95633152244386","96.1600489857885","96.36673079153509","96.5361751447374","96.69861447883943","96.8483356235418","96.97724953062615","97.0964661847667","97.20881910685657"
"80","88.038727272558","73.67031298606926","81.93721476709328","85.75203085056052","88.15221190283897","89.82494793672323","90.9663705848287","91.89726413636437","92.67467891305292","93.35871843153687","93.88975892150832","94.34916824511059","94.77294609368447","95.09682413973457","95.33146012644387","95.5864715412561","95.8260864485345","96.02521082190864","96.22519092928403","96.41639619311783","96.582755296418","96.7414868107779","96.88654911807575","97.00617734164112","97.12875097988072","97.24539725206375"
"70","88.1718440964937","73.73417577462543","82.07411888003757","85.89201496175073","88.27470982877732","89.9534161493674","91.0939031380358","92.0304159843469","92.77791597137046","93.45831760602427","93.97506926042657","94.42030786531207","94.83206881650455","95.15569410819325","95.38859764415162","95.63780609082465","95.87029982822949","96.0737741629566","96.2724921632839","96.46828763083296","96.63043764726393","96.78234690322138","96.92799864002282","97.04196899802541","97.15270818294215","97.27495593454218"
"60","88.53531606182848","74.45498379421173","82.60171308446844","86.33813498609815","88.63176261046243","90.32362070149077","91.42763265537523","92.31730367934487","92.99511626061584","93.6573302853984","94.16000531802823","94.60678877616785","94.99230524464483","95.30146973554278","95.51986621482497","95.76970798116668","96.00126394827063","96.20037621337313","96.40136186756942","96.58959219906876","96.74083065763129","96.88181439528266","97.02340371008619","97.13088672404267","97.24447607232959","97.35805941212855"
"50","88.77685952465777","74.7031371092786","82.86246277388096","86.60474811971912","88.86855073726575","90.5311774084867","91.61003567747336","92.48214362665384","93.16987900004925","93.84631805326748","94.37187620959226","94.81643758163884","95.20201063518009","95.51027096003374","95.73025056176452","95.98632253148426","96.18905524162724","96.38455881783167","96.5762659373","96.7464309263327","96.90304682028278","97.03338650340582","97.18417192137771","97.29061020614964","97.41131338614258","97.519575327354"
"40","88.85088083015943","74.62260779452275","82.82390150806594","86.70681248673736","88.94444743847629","90.64716820067488","91.71219895650269","92.56969160023199","93.28301162156703","93.9835414392039","94.51766844661273","94.95756586955233","95.3364047009113","95.61897763924343","95.84197547350193","96.1079967463279","96.31448885566886","96.49531973391026","96.7005645519105","96.87711013731449","97.04002587250095","97.15541346487187","97.29513507031206","97.40323659273716","97.51377930833621","97.62614745341996"
"30","89.16974982674336","74.65161200869454","83.0870338218397","86.98967378734937","89.26498983307863","91.02962243982627","92.05185157958518","92.93248771635437","93.6419001183812","94.35420771643899","94.87565351008578","95.29084354598311","95.66717707766796","95.9497869893284","96.14950363684787","96.42627728359992","96.63882243278458","96.81524923690257","97.01234899149163","97.17938259276934","97.34527057853866","97.43752869863862","97.57081312729916","97.65817365380855","97.76084641592409","97.8644580185246"
"20","88.99453145565174","73.85326995731371","82.63924863499422","86.75712460921969","89.10042629655413","90.9764696283078","92.0108794626907","92.9681237828118","93.71086185317237","94.41146281871745","94.99240006164732","95.48093356123279","95.87128083369659","96.15860702467175","96.3593323886824","96.56762620179074","96.78094722470699","96.97361948109737","97.13535302974635","97.29375795426819","97.45922057098102","97.55330350437816","97.6618987901268","97.73059532209169","97.85323584696869","97.9798915916904"
"10","89.69119319415762","73.30199198035159","83.10533093388814","87.43798938215932","89.79359079655522","91.9665808499801","92.97202468151099","93.8410107678884","94.53869171013456","95.20392321775735","95.73746576216944","96.14432339728792","96.51707070926447","96.78404105775657","96.94019830630512","97.08852823724375","97.22259706696472","97.33976251021714","97.47612976614961","97.57726051945427","97.65471929256522","97.72932765521705","97.8235812277315","97.88221824289025","97.97285224656773","98.07524984896531"
