"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","63.632432432432424","46.373873873873876","58.123423423423425","63.63243243243244","67.53783783783784","70.22522522522523","72.23963963963965","74.65675675675676","76.00090090090092","77.88288288288287","78.89279279279279","79.63063063063063","81.17747747747748","81.84684684684683","82.85495495495496","83.3927927927928","83.99639639639639","84.4009009009009","85.14054054054053","85.67747747747747","86.2153153153153","86.68738738738736","87.02432432432431","87.35855855855854","87.6927927927928","88.43153153153153"
"90","63.71817383669886","46.07111501316945","58.007023705004386","63.718173836698874","67.65693590869184","70.32594381035997","72.25307287093945","74.55223880597015","75.73858647936787","77.51755926251096","78.48441615452151","79.29872695346795","80.93283582089552","81.59679543459174","82.70961369622475","83.22870939420544","83.82133450395084","84.19337137840212","84.78709394205444","85.37971905179981","85.74956101843722","86.19622475856013","86.49363476733976","86.86237928007021","87.23112379280067","87.97300263388937"
"80","63.916666666666664","46.58333333333333","58.583333333333336","63.91666666666665","67.66666666666667","70.33333333333334","72.08333333333334","74.16666666666667","75.41666666666666","77.08333333333333","78.08333333333331","78.83333333333333","80.33333333333331","81.08333333333333","82.16666666666666","82.66666666666666","83.33333333333334","83.75000000000001","84.41666666666667","85.08333333333334","85.5","85.75","85.99999999999999","86.41666666666666","86.83333333333331","87.66666666666666"
"70","63.63388969521045","45.71298984034833","58.20029027576197","63.63388969521046","67.46190130624093","69.94194484760524","71.84869375907115","73.84978229317854","75.18686502177067","76.90312046444122","77.95537010159651","78.8134978229318","80.34288824383164","81.1955732946299","82.4365021770682","83.00798258345426","83.76995645863568","84.15275761973872","84.72605224963712","85.39368650217708","85.77285921625544","85.9633526850508","86.24999999999999","86.53301886792453","87.0065312046444","87.57982583454283"
"60","64","45.88888888888889","58.999999999999986","63.999999999999986","67.99999999999999","70.22222222222221","71.77777777777779","73.88888888888889","75.33333333333334","76.88888888888889","78.00000000000001","78.88888888888889","80.66666666666667","81.66666666666666","83","83.55555555555556","84.44444444444444","84.77777777777777","85.33333333333333","86.1111111111111","86.44444444444443","86.55555555555554","86.77777777777776","86.99999999999999","87.55555555555553","87.99999999999997"
"50","64.95732574679941","47.741820768136556","60.42318634423897","64.95732574679943","68.85490753911805","71.26244665718349","72.86273115220482","74.45945945945945","75.66500711237552","77.14082503556186","78.21479374110952","79.0149359886202","80.62233285917496","81.2873399715505","82.7560455192034","83.28947368421049","84.22119487908961","84.6230440967283","85.02133712660027","85.82147937411095","86.0881934566145","86.22332859174963","86.35490753911805","86.6180654338549","87.27951635846371","87.6813655761024"
"40","63.83333333333333","46.166666666666664","59.333333333333336","63.833333333333336","67.83333333333334","70.16666666666666","72","73.5","74.83333333333334","76.66666666666666","77.83333333333331","78.66666666666666","80.5","81.16666666666666","82.66666666666667","83.16666666666667","83.50000000000001","84.00000000000001","84.16666666666667","84.83333333333334","85","85.16666666666666","85.33333333333334","85.66666666666667","86.16666666666667","86.66666666666667"
"30","61.52173913043479","44.78260869565217","58.26086956521739","61.52173913043479","66.08695652173913","67.82608695652175","70.00000000000001","71.52173913043478","73.04347826086959","74.78260869565219","76.08695652173914","76.95652173913045","78.69565217391306","79.34782608695654","80.86956521739133","81.5217391304348","81.95652173913045","82.3913043478261","82.60869565217392","83.47826086956522","83.47826086956522","83.47826086956522","83.69565217391305","84.1304347826087","84.78260869565219","85.43478260869567"
"20","59.66666666666667","42.333333333333336","55.666666666666664","59.66666666666667","63.66666666666667","66","67.66666666666666","68.66666666666666","69.33333333333334","70.66666666666667","72","73","75","75.66666666666666","77.33333333333333","77.99999999999999","78.66666666666666","79.33333333333333","79.66666666666666","80.66666666666667","80.66666666666667","80.66666666666667","80.66666666666667","81","82.00000000000001","82.33333333333334"
"10","55.625","38.125","52.5","55.625","57.5","61.25","61.25","61.875","62.5","64.375","66.875","67.5","70.625","71.875","74.375","75.625","76.25","76.875","77.5","77.5","77.5","77.5","77.5","78.125","79.375","80"
