"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","76.92640692640694","58.36996336996335","69.19746919746919","73.57808857808858","76.92640692640694","79.24658674658674","81.56676656676655","82.9204129204129","84.27156177156175","85.04745254745255","85.88411588411589","86.85314685314685","87.4975024975025","88.14352314352315","88.78871128871131","89.11088911088912","89.75441225441224","90.07492507492506","90.26723276723278","90.65434565434566","90.97652347652347","91.23459873459873","91.81485181485182","92.07292707292709","92.2019647019647","92.3942723942724"
"90","76.47686116700201","58.41649899396377","68.61770623742454","73.00905432595573","76.47686116700201","78.95573440643862","81.2927565392354","82.71026156941649","83.98390342052315","84.83702213279678","85.61569416498995","86.6096579476861","87.24748490945674","87.88732394366198","88.5261569416499","88.88028169014083","89.44668008048289","89.72837022132796","89.93963782696177","90.2937625754527","90.50603621730383","90.7897384305835","91.35613682092557","91.63983903420524","91.78169014084509","91.99295774647888"
"80","76.4247311827957","59.08986175115208","68.59831029185867","73.07219662058372","76.42473118279571","78.82232462877626","81.05862775217612","82.57808499743984","83.93497183819764","84.65693804403482","85.4557091653866","86.33640552995392","87.05581157194061","87.69713261648748","88.33717357910905","88.65719406041985","89.21658986175115","89.45468509984637","89.61341525857654","89.85279057859702","90.0128008192524","90.33282130056323","90.89221710189452","91.131592421915","91.2916026625704","91.52969790066564"
"70","76.996632996633","60.052188552188554","69.4882154882155","73.88383838383837","76.99663299663301","79.47306397306399","81.66835016835016","83.22895622895622","84.69360269360268","85.33670033670035","86.25252525252526","86.98653198653199","87.72053872053871","88.36531986531985","88.91750841750842","89.10269360269359","89.65151515151514","89.92424242424241","90.1060606060606","90.38047138047139","90.47306397306399","90.74915824915826","91.29966329966331","91.57407407407408","91.66498316498317","91.93771043771045"
"60","75.63829787234042","59.57446808510639","68.08510638297872","72.5531914893617","75.63829787234042","77.87234042553192","80.31914893617024","82.12765957446808","83.61702127659572","84.14893617021276","85.1063829787234","85.85106382978724","86.59574468085106","87.12765957446808","87.76595744680851","87.9787234042553","88.61702127659575","88.93617021276597","89.14893617021276","89.46808510638297","89.57446808510637","89.89361702127658","90.42553191489363","90.74468085106382","90.85106382978724","91.17021276595743"
"50","74.48717948717947","58.84615384615385","67.43589743589743","71.92307692307693","74.48717948717949","77.17948717948718","79.61538461538461","81.53846153846153","83.07692307692307","83.7179487179487","84.87179487179485","85.76923076923077","86.53846153846153","86.92307692307692","87.69230769230768","87.94871794871796","88.58974358974359","88.84615384615384","88.97435897435898","89.3589743589744","89.48717948717952","89.8717948717949","90.51282051282054","90.89743589743593","91.02564102564105","91.2820512820513"
"40","73.5383064516129","57.38911290322581","65.93245967741936","70.68548387096774","73.53830645161291","76.3961693548387","78.92137096774194","80.82661290322582","82.57056451612905","83.36693548387099","84.31955645161291","85.1108870967742","85.90221774193547","86.3810483870968","87.33870967741935","87.66129032258064","88.29637096774192","88.60887096774192","88.76512096774192","89.23891129032256","89.40020161290322","89.72278225806451","90.51915322580643","90.99294354838707","91.14919354838707","91.30544354838707"
"30","72.49999999999997","57.083333333333336","65.20833333333333","69.58333333333333","72.49999999999997","75.625","78.54166666666667","80.62500000000003","82.29166666666667","82.91666666666666","83.75","84.79166666666667","85.41666666666666","85.83333333333333","86.45833333333333","86.66666666666666","87.29166666666666","87.5","87.70833333333334","88.33333333333333","88.54166666666666","88.95833333333333","89.375","89.58333333333334","89.79166666666666","90"
"20","70.625","55.625","62.8125","67.1875","70.625","74.6875","77.5","79.6875","81.875","82.5","83.125","84.375","85.3125","85.9375","86.875","86.875","86.875","87.1875","87.1875","88.125","88.4375","89.0625","89.375","89.6875","90","90"
"10","66.875","50.625","58.125","63.75","66.875","71.875","75","77.5","79.375","79.375","80","81.875","83.125","84.375","85.625","85.625","85.625","86.25","86.25","88.125","88.125","88.75","89.375","90","90","90"
