"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","69.11212082563254","60.4318570432535","69.11212082563253","73.78029776761572","76.60384170377603","78.52182108563633","80.74359224982007","82.18150184084551","83.64262971912324","85.02914597986084","86.31541481055484","87.40079786075947","88.30788271975682","88.91243207783779","89.69350810479615","90.4752199249336","91.10540378789811","91.75932246733333","92.11109400898766","92.66539851361614","93.06945047366763","93.24622328429308","93.77603282010216","93.97755054820841","94.22932207053832","94.48185503351246"
"90","68.8978633551636","60.32191952796435","68.8978633551636","73.64752160358212","76.43994587770872","78.39514503518646","80.71394869541565","82.1103107847035","83.64447548106764","84.98466476959666","86.26898639270745","87.414731236792","88.30767057937355","88.92127333849447","89.56327809511853","90.37288584799725","90.98679897335033","91.59977925637646","91.96198188019166","92.57590023643628","92.93966166593432","93.13535280619892","93.72195719038352","93.94511399856326","94.16811387999637","94.39173972478537"
"80","70.10926926598201","61.650674707427754","70.10926926598201","74.7965354072128","77.4367362272112","79.44937704004457","81.68274072526073","82.9722752965528","84.44734197118063","85.79879189554973","86.96214722155881","88.09524271554812","89.03787516917444","89.6033357216782","90.20044433166149","90.95498716264629","91.58314176817133","92.17827253005335","92.52340577979462","93.15196341851764","93.49867894673993","93.6875621964812","94.19071928986547","94.34756140036623","94.56710005174747","94.75578676060823"
"70","71.17037550084154","62.86197625750331","71.17037550084156","75.59605731563819","78.07687638708909","79.91096936115704","82.14204536991525","83.32861164484562","84.87181434976242","86.16579531405931","87.31639781342628","88.4328425458391","89.29489327792423","89.7972168848772","90.4801823137763","91.27158273381295","91.81013450109478","92.45479765256117","92.84946452775668","93.38828067980397","93.78501794837423","93.92942788626243","94.36135811847416","94.50447219863861","94.7555036715969","94.97134218091368"
"60","71.03116246498598","62.905112044817926","71.031162464986","75.55427170868346","78.02485994397759","79.8249299719888","82.21323529411765","83.34453781512607","84.89250700280112","86.10644257703082","87.19537815126051","88.3686974789916","89.28921568627453","89.79096638655463","90.41911764705883","91.13060224089637","91.67471988795519","92.38445378151259","92.80217086834735","93.34558823529413","93.68067226890756","93.8483893557423","94.30952380952382","94.43487394957984","94.68557422969188","94.85259103641457"
"50","71.63737373737374","63.5858585858586","71.63737373737374","76.21464646464648","78.57777777777778","80.13686868686868","82.35252525252525","83.20808080808081","84.86666666666665","86.02272727272725","87.07979797979797","88.18838383838383","89.1439393939394","89.59595959595961","90.30050505050505","91.0550505050505","91.60757575757577","92.1590909090909","92.50959595959596","93.1121212121212","93.41414141414141","93.51464646464646","94.01818181818182","94.11818181818181","94.3691919191919","94.51969696969697"
"40","71.87104430379746","64.21360759493672","71.87104430379746","76.33306962025317","78.65585443037975","80.29034810126582","82.30221518987341","82.99129746835443","84.68433544303797","85.5632911392405","86.44303797468355","87.51424050632912","88.33069620253166","88.83148734177216","89.58623417721519","90.34018987341771","90.90427215189872","91.53085443037973","91.90664556962024","92.40822784810128","92.65981012658229","92.65981012658229","93.10047468354432","93.22547468354432","93.53876582278482","93.72705696202533"
"30","72.25","64.25000000000001","72.25","76.41666666666666","78.66666666666666","80.33333333333333","82.16666666666666","82.83333333333333","84.75","85.58333333333334","86.58333333333334","87.58333333333334","88.33333333333334","88.83333333333334","89.49999999999999","90.41666666666664","90.91666666666666","91.58333333333331","91.91666666666666","92.49999999999999","92.66666666666666","92.66666666666666","93.25","93.41666666666666","93.66666666666666","93.91666666666666"
"20","70.875","64.125","70.875","75.375","77.5","79.5","81.5","82.25","84.375","85","86.25","87","87.5","88.25","88.875","89.625","90.125","90.875","91.125","91.875","92","92","92.75","93","93.25","93.5"
"10","69.5","63","69.5","74.25","76.5","79","81","82.5","85","85","85.75","86","86.5","87.25","87.75","88","88.75","89.25","89.5","91","91.25","91.25","91.75","91.75","92","92.5"
