"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","88.84415555170982","76.23384723581431","83.69189292894629","86.9271969812872","88.95367842835688","90.36450507228827","91.43023098646302","92.29018693343085","92.97238275035808","93.50639895433463","93.95715699483146","94.36529634914947","94.68408312800214","94.94475094071123","95.25707832547096","95.48809001354518","95.71517336593321","95.96498713345031","96.15858572091341","96.34781706463664","96.51423087737525","96.66439033281925","96.79660855762322","96.9380112832395","97.06316289745506","97.14231861438093"
"90","89.2527194426653","76.78482755048677","84.16357343768104","87.35122230526498","89.36752578900823","90.7049721170518","91.7695828176654","92.60658540701984","93.28951883073843","93.78937774160067","94.22568878990447","94.61837517937462","94.9303552463643","95.18633180161235","95.48277377573237","95.70769092476145","95.94050561096051","96.17305160520439","96.35312014386494","96.52620495045662","96.68426190024556","96.83406890911299","96.96501434932513","97.10108021465928","97.22204172260852","97.30242147112605"
"80","89.55969359741475","77.317562575853","84.5906952549379","87.68592601461275","89.67179540453544","90.99179860293863","92.02719127326085","92.80795931887963","93.492952612034","93.98569245542707","94.4192981285355","94.79051688401907","95.09770442631293","95.33821379726375","95.63613797706704","95.84129677517244","96.07233002382493","96.30832487628562","96.48553091854689","96.65014663512503","96.79592712383264","96.94649224318422","97.07456592224395","97.20849106510744","97.32369628902597","97.40479264708158"
"70","89.6223991835241","77.27316841691346","84.65390310064555","87.73401382568458","89.73020489643002","91.05832332597602","92.06628388509468","92.82540690665893","93.50926955621826","94.01769462079316","94.4778866300643","94.84760962821495","95.16837481338843","95.39037365342536","95.69194628167358","95.90307788162748","96.12129554354404","96.34985599809717","96.52581865146387","96.68435115955288","96.81869430975418","96.97039126818684","97.08525072065173","97.22458666469655","97.33507769428311","97.41680625577975"
"60","89.81411551704433","77.49137292958363","84.82555090691247","87.90891990216659","89.90626273098886","91.21539017156171","92.22429461376828","92.99220005861336","93.6390657769296","94.14130305943688","94.60390590737696","94.9672532862967","95.2776596090994","95.50286400596165","95.7853865857643","95.97669658974874","96.20150066043325","96.43872948619706","96.61468157992284","96.78165386994655","96.91001309075571","97.05043862745708","97.16670413897867","97.30332608756234","97.40566135942768","97.48062881076959"
"50","90.30308572561707","78.04955170633094","85.37350702060714","88.43211824907549","90.38310936065328","91.71892926739581","92.6618713906663","93.41657951571528","94.00869602578682","94.49651545301411","94.93282777030345","95.26441112438238","95.54584627321908","95.76009680842351","96.03469245865688","96.21492408505263","96.41754921457661","96.63255974293303","96.82060188479318","96.9738842709059","97.11009829507304","97.23263585441443","97.33261819965465","97.46798945779264","97.57516054688283","97.64963251557164"
"40","90.05241641295846","77.60158862508435","85.01874262445695","88.14421461640093","90.12112857641876","91.52324147959517","92.49637631818779","93.25334591891388","93.86267348189115","94.34669247109807","94.78450913496879","95.1285810722098","95.43402699320876","95.64687248104332","95.92093293597429","96.11473836729374","96.30864133038578","96.55010264941828","96.73623963549889","96.88622615528097","97.03395688387265","97.16319089424108","97.26703755399731","97.40702372025865","97.52244322702265","97.60320791591226"
"30","89.86992414726572","77.23276767407117","84.72940629440632","87.95046751203824","89.93014290575691","91.38461430990024","92.35315551607826","93.15520574756222","93.81425232495488","94.30287946194088","94.79605538651886","95.14992990838032","95.46344774144657","95.67670534981637","95.95499608842687","96.13197513046622","96.33363318038602","96.58829047571719","96.75675774631593","96.91410340132983","97.07121184911216","97.19328066466409","97.31084958974257","97.46166960668135","97.57057653197636","97.65270577361015"
"20","89.21511835221294","76.72289956119371","84.25418313974153","87.2959005743656","89.27584385859059","90.64673809740782","91.61503802930028","92.45865603749938","93.1481399075187","93.64997949770842","94.21290711130935","94.62475554422087","94.91992996942007","95.16240333705667","95.46740259397984","95.66415709682322","95.90172112259395","96.1640210661702","96.33214815258813","96.48441539154587","96.69512856052185","96.8327343064132","96.9700455039362","97.14582577341965","97.27659946838406","97.37730940867422"
"10","90.32667595908703","77.87909389688033","85.50881842136766","88.48306666982545","90.38639884489677","91.67781576131372","92.54126390737058","93.30250447839379","93.99062482313471","94.43088202969626","94.9775907557528","95.35114835757128","95.70120590871582","95.89387555790721","96.14613235907704","96.29143090111471","96.49671474770292","96.72841239787883","96.88694951293769","97.03793077804939","97.16541199248715","97.33012458555943","97.46795776687085","97.65074599313732","97.80439669026629","97.89579080339954"
