"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","67.19279279279277","52.54684684684685","62.626126126126124","67.1927927927928","70.89189189189189","73.64774774774774","76.13513513513513","77.81261261261263","79.09279279279279","80.57207207207207","81.91351351351352","83.12432432432433","83.73063063063061","84.53693693693693","85.2099099099099","85.68198198198198","86.35315315315314","86.82432432432431","87.09369369369368","87.4981981981982","87.69819819819818","87.96666666666667","88.1018018018018","88.37027027027027","88.57207207207207","88.84054054054056"
"90","67.72058823529412","52.51536435469709","62.75351185250221","67.72058823529412","71.28511852502194","74.02985074626865","76.32901668129938","78.03116769095699","79.22190517998244","80.63103599648815","82.03687445127304","83.30004389815626","83.96949078138718","84.8595258999122","85.45324846356452","85.89991220368744","86.49253731343283","87.01273046532046","87.23661106233538","87.53402107111502","87.68107989464444","87.90386303775243","88.05311676909571","88.34942932396841","88.57221246707638","88.86852502194908"
"80","66.83333333333333","52.25","62.166666666666664","66.83333333333334","70.41666666666669","73.25","75.75000000000001","77.41666666666666","78.75000000000001","80.24999999999999","81.75000000000001","83.16666666666669","83.91666666666667","84.75000000000001","85.33333333333334","85.75000000000001","86.41666666666667","87.00000000000003","87.16666666666669","87.41666666666667","87.58333333333334","87.83333333333334","87.91666666666666","88.25000000000001","88.5","88.83333333333334"
"70","66.59470246734398","51.61284470246735","61.7289550072569","66.59470246734398","70.13062409288825","73.18577648766329","75.56966618287376","77.28410740203194","78.43251088534109","79.95827285921624","81.48040638606678","82.72496371552975","83.49056603773585","84.34869375907111","85.01814223512338","85.49709724238026","86.16291727140785","86.6400580551524","86.8323657474601","87.12082728592164","87.30950653120465","87.59615384615384","87.6923076923077","87.97714078374455","88.26378809869377","88.64477503628449"
"60","65.33333333333333","50.55555555555555","60.55555555555554","65.33333333333333","69.11111111111111","72.22222222222223","74.44444444444444","76.22222222222223","77.55555555555557","79.11111111111111","80.77777777777777","82.22222222222223","82.77777777777779","83.55555555555557","84.33333333333334","84.66666666666667","85.44444444444444","86","86.11111111111111","86.44444444444443","86.66666666666666","86.77777777777776","86.88888888888889","87.22222222222221","87.55555555555554","88"
"50","65.09601706970128","49.459459459459445","60.16002844950215","65.09601706970128","68.57752489331436","71.26244665718349","73.66998577524893","75.26671408250354","76.7425320056899","78.2076813655761","79.93243243243242","81.5433854907539","82.21194879089614","82.74537695590325","83.68421052631577","84.08961593172117","84.88975817923185","85.55832147937409","85.69345661450922","86.09886201991462","86.36201991465147","86.4971550497866","86.63229018492174","87.03058321479372","87.29729729729728","87.8307254623044"
"40","65.16666666666666","49.83333333333333","60","65.16666666666666","68.5","70.83333333333331","73.16666666666667","74.66666666666669","76.16666666666666","77.83333333333334","79.66666666666667","81.66666666666669","82.50000000000003","83.00000000000003","83.83333333333334","84.33333333333336","85.33333333333334","85.83333333333334","86","86.5","86.66666666666666","86.83333333333333","87","87.49999999999999","87.66666666666666","87.99999999999999"
"30","67.17391304347825","50.86956521739131","61.521739130434774","67.17391304347825","70.86956521739131","73.04347826086956","75.86956521739131","77.3913043478261","79.34782608695653","80","81.08695652173915","82.3913043478261","83.04347826086958","83.47826086956522","84.34782608695653","84.78260869565219","85.86956521739131","86.52173913043481","86.73913043478264","87.39130434782612","87.60869565217395","87.82608695652178","88.04347826086959","88.69565217391307","88.9130434782609","88.9130434782609"
"20","64.99999999999999","48.00000000000001","59","64.99999999999999","69.00000000000001","71.33333333333333","73.66666666666667","75.66666666666667","77.66666666666666","77.99999999999997","79.66666666666666","80.66666666666666","80.99999999999999","81.33333333333334","82.66666666666666","83.33333333333333","84.33333333333333","85.33333333333334","85.66666666666666","86.33333333333334","86.66666666666667","86.66666666666667","87.00000000000001","87.33333333333334","87.66666666666667","87.66666666666667"
"10","53.75","38.75","48.125","53.75","59.375","62.5","65","67.5","70","70.625","73.125","73.75","74.375","75","75.625","75.625","76.875","78.75","79.375","79.375","80","80","80.625","80.625","80.625","80.625"
