"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","82.28188478188477","66.62087912087911","74.93506493506494","79.89760239760238","82.28188478188478","83.8919413919414","85.17982017982017","86.40942390942391","87.1178821178821","87.76390276390275","88.53479853479855","89.37062937062937","89.95004995004994","90.33716283716285","90.78671328671328","91.36696636696638","91.88145188145191","92.39676989676991","92.58991008991009","92.78388278388282","92.97702297702301","93.1701631701632","93.3633033633034","93.8777888777889","94.13586413586417","94.65201465201469"
"90","83.77967806841046","68.40140845070422","76.5533199195171","81.51207243460765","83.77967806841046","85.26659959758551","86.39939637826963","87.68008048289737","88.45875251509054","89.09758551307846","89.80281690140843","90.51006036217302","91.00503018108652","91.43058350100604","91.78370221327968","92.35110663983903","92.77464788732395","93.27062374245473","93.41247484909456","93.55432595573441","93.76659959758551","93.97887323943661","94.12072434607646","94.47484909456742","94.68812877263582","95.04325955734407"
"80","85.22017409114184","69.6326164874552","78.1899641577061","82.98259088581669","85.22017409114184","86.57834101382488","87.45775729646695","88.82360471070147","89.62237583205324","90.34306195596517","90.81925243215565","91.61674347158218","92.01484895033283","92.41551459293396","92.7342549923195","93.13364055299539","93.61111111111111","94.09114183307732","94.17178699436764","94.25243215565794","94.49180747567843","94.73118279569891","94.810547875064","95.20993343573988","95.20993343573988","95.61059907834101"
"70","86.62121212121212","71.4040404040404","79.56734006734008","84.32996632996633","86.62121212121212","87.53703703703704","88.26936026936026","89.55892255892255","90.2020202020202","90.93771043771044","91.3013468013468","91.94107744107744","92.12289562289563","92.5824915824916","92.94781144781145","93.40572390572392","93.95286195286195","94.50336700336699","94.50336700336699","94.59595959595958","94.77946127946127","95.05387205387206","95.14478114478115","95.5117845117845","95.5117845117845","95.88047138047138"
"60","86.48936170212765","71.06382978723404","79.57446808510636","84.57446808510637","86.48936170212765","87.4468085106383","88.08510638297872","89.46808510638299","90.2127659574468","90.74468085106383","91.17021276595744","91.91489361702128","92.12765957446808","92.5531914893617","92.9787234042553","93.51063829787232","94.04255319148935","94.57446808510637","94.57446808510637","94.68085106382978","94.89361702127658","95.21276595744679","95.3191489361702","95.42553191489358","95.42553191489358","95.85106382978722"
"50","85.76923076923076","70.12820512820512","78.71794871794872","83.84615384615384","85.76923076923075","86.66666666666666","87.30769230769229","88.58974358974356","89.48717948717949","90.12820512820515","90.64102564102566","91.2820512820513","91.41025641025644","91.79487179487182","92.17948717948721","92.82051282051285","93.33333333333337","93.974358974359","93.974358974359","94.10256410256413","94.23076923076925","94.61538461538464","94.74358974358977","94.8717948717949","94.8717948717949","95.38461538461542"
"40","87.1975806451613","72.9233870967742","80.72076612903227","85.1461693548387","87.1975806451613","88.14516129032258","88.78024193548387","89.89415322580643","90.69052419354837","91.32056451612901","91.63306451612901","92.26310483870967","92.26310483870967","92.7368951612903","93.21068548387095","94.00201612903224","94.47076612903224","95.26713709677418","95.26713709677418","95.26713709677418","95.42338709677418","95.89717741935483","95.89717741935483","96.05846774193547","96.05846774193547","96.53729838709677"
"30","87.70833333333334","72.70833333333333","80.625","85.41666666666667","87.70833333333334","88.75","89.375","90.41666666666666","91.04166666666666","91.45833333333331","91.87499999999999","92.5","92.5","92.70833333333334","93.12500000000001","93.75000000000001","94.16666666666667","94.79166666666666","94.79166666666666","94.79166666666666","95","95.41666666666666","95.41666666666666","95.625","95.625","96.04166666666667"
"20","90.3125","75.3125","83.4375","88.4375","90.3125","90.9375","91.25","91.875","92.8125","93.4375","94.0625","94.375","94.375","94.375","95","95.625","96.25","96.875","96.875","96.875","97.1875","97.8125","97.8125","98.125","98.125","98.125"
"10","89.375","78.75","83.125","88.75","89.375","90","90","91.25","91.25","92.5","93.75","94.375","94.375","94.375","95.625","96.25","96.875","96.875","96.875","96.875","97.5","97.5","97.5","98.125","98.125","98.125"
