"% Kept","Avg top 1% Recall","Recall@1","Recall@2","Recall@3","Recall@4","Recall@5","Recall@6","Recall@7","Recall@8","Recall@9","Recall@10","Recall@11","Recall@12","Recall@13","Recall@14","Recall@15","Recall@16","Recall@17","Recall@18","Recall@19","Recall@20","Recall@21","Recall@22","Recall@23","Recall@24","Recall@25"
"100","69.44244041053341","59.55420862323204","69.44244041053341","74.58827721260252","78.04352277848247","80.18510496516835","82.20601209529161","83.5680359831254","85.08183521952685","86.14170683572196","87.25094521600464","87.98214814007483","88.58759091179634","89.24315548542076","89.77232795907962","90.50326939780169","91.00795588206117","91.4368783877342","91.88953569055346","92.34282751758074","92.74598987090509","93.14927914066564","93.65269530753805","93.8801000851048","94.10661910150661","94.40864061114681"
"90","70.46461127501239","60.82860635099979","70.46461127501239","75.43602445267439","78.84267744927777","80.71080144233116","82.75199122605122","84.03615940967646","85.5167981364077","86.55080939328633","87.66752976377293","88.42142503434951","89.0362744892906","89.59447861960257","90.18030360094573","90.84961535510779","91.26862197392924","91.71555981001401","92.18934083791908","92.66374608554948","93.11021488502499","93.55668542813103","94.03062163915219","94.25440266705725","94.44947133122704","94.72818369496228"
"80","71.46364242496615","61.5897271315978","71.46364242496615","76.43275067669772","79.9222369835204","81.52408496536898","83.50745860202213","84.8278600429902","86.27424916407931","87.21767275694611","88.28629537855265","89.10373129129846","89.67017952392325","90.26728564604728","90.76945505931056","91.42866063609584","91.83748059469787","92.30899460632115","92.81096996656319","93.2504453268052","93.62721917044823","94.0670901003105","94.53741989093226","94.75794871029377","94.9774898495343","95.1653829312953"
"70","71.81707925584996","61.88863443406765","71.81707925584998","76.8170308473718","80.48494868701313","82.1730789281618","84.11742034943474","85.41191891207531","86.8148561895825","87.64196717160434","88.6127135558634","89.29671045772078","89.80110073431939","90.37614504669556","90.91443987667009","91.63259082175253","92.0282928936354","92.53139103623934","92.99826101851437","93.42941671507516","93.78862251813456","94.25601009875331","94.79379105411324","94.93820099200143","95.11729001891653","95.29611838479526"
"60","72.9184173669468","63.031862745098046","72.91841736694678","77.94257703081232","81.50105042016807","83.25840336134453","85.06022408963587","86.27450980392157","87.73984593837532","88.4516806722689","89.33088235294117","90.04306722689076","90.58823529411764","91.21603641456582","91.67647058823528","92.30462184873947","92.63970588235293","93.01610644257703","93.51785714285715","93.97794117647061","94.31267507002804","94.73074229691878","95.27380952380955","95.39950980392157","95.56652661064427","95.73354341736696"
"50","74.0611111111111","64.34747474747476","74.0611111111111","79.09191919191919","82.71111111111112","84.26868686868687","86.03030303030305","87.08686868686868","88.39444444444445","88.94747474747474","89.70151515151515","90.45606060606062","90.910101010101","91.36212121212121","91.86464646464648","92.41767676767677","92.66919191919193","93.02070707070708","93.42222222222222","93.92474747474748","94.22575757575757","94.57676767676769","95.22878787878787","95.32979797979797","95.48030303030303","95.58080808080807"
"40","74.58148734177215","64.71439873417721","74.58148734177215","79.48180379746836","83.3117088607595","84.75553797468355","86.51661392405065","87.58306962025317","88.9628164556962","89.59018987341771","90.28164556962025","91.03481012658227","91.41218354430379","91.8512658227848","92.2270569620253","92.7903481012658","92.97943037974683","93.29272151898734","93.73180379746836","94.23417721518987","94.48417721518987","94.92246835443039","95.6115506329114","95.67484177215191","95.80063291139241","95.86313291139241"
"30","74.75","65.49999999999999","74.75","79.58333333333331","83.16666666666667","84.58333333333334","86.41666666666669","87.25","88.75","89.50000000000001","90.25000000000001","91.00000000000001","91.33333333333334","91.66666666666667","92.08333333333333","92.49999999999997","92.66666666666666","92.91666666666666","93.24999999999999","93.83333333333334","93.91666666666667","94.33333333333333","95.08333333333334","95.16666666666667","95.25000000000001","95.25000000000001"
"20","76","67","76","80.375","84.125","85.125","86.875","87.375","88.625","89.25","90.125","90.875","91.125","91.5","92","92.25","92.375","92.75","93","93.5","93.625","94","94.625","94.75","94.875","94.875"
"10","75.25","67","75.25","79","83.25","84","85.5","86.25","86.75","87.25","87.75","88.75","89","89","89.5","89.75","90","90.75","91","91.75","92","92.5","93.75","93.75","93.75","93.75"
