"% Kept,""Avg top 1% Recall"",""Recall@1"",""Recall@2"",""Recall@3"",""Recall@4"",""Recall@5"",""Recall@6"",""Recall@7"",""Recall@8"",""Recall@9"",""Recall@10"",""Recall@11"",""Recall@12"",""Recall@13"",""Recall@14"",""Recall@15"",""Recall@16"",""Recall@17"",""Recall@18"",""Recall@19"",""Recall@20"",""Recall@21"",""Recall@22"",""Recall@23"",""Recall@24"",""Recall@25"""
"100,""80.16100362861326"",""72.21739575176814"",""80.16100362861326"",""84.34363989743106"",""87.14128657438863"",""89.15912758042379"",""90.31886974224041"",""91.37760049542695"",""92.38760923780055"",""93.31969409679789"",""94.07601753447544"",""94.70671411974502"",""95.28525718372923"",""95.56317468360108"",""95.86507183407168"",""96.29386869227955"",""96.49538386311912"",""96.9246896367187"",""97.05070358329101"",""97.22697005511586"",""97.3781096298289"",""97.50386849388202"",""97.7301324084402"",""97.85627069485767"",""97.93164757927977"",""98.03240644333292"""
"90,""79.84457451928107"",""71.97102609168708"",""79.84457451928107"",""84.1696029404585"",""87.04473458456258"",""89.11042237705661"",""90.19889593315617"",""91.2040344122919"",""92.2946944810607"",""93.2433463059444"",""94.02470550080555"",""94.66733447715497"",""95.28078205315981"",""95.56074459997629"",""95.89532288549927"",""96.34210205120694"",""96.5095463770845"",""96.95695324977856"",""97.09662154150887"",""97.26391068427036"",""97.43135675377846"",""97.5707129356461"",""97.76593503930143"",""97.87766862650736"",""97.93322418206292"",""98.017024808375"""
"80,""79.88746915054534"",""71.99631299259612"",""79.88746915054534"",""84.15937723907332"",""86.9568132513335"",""89.12551001114562"",""90.16169343603217"",""91.16761205318048"",""92.3009090637688"",""93.3370949765146"",""94.15373726216065"",""94.81393549478545"",""95.44189604728923"",""95.69426946501076"",""95.97690022689277"",""96.3222275296553"",""96.47946272191705"",""96.98321690152059"",""97.1404545816416"",""97.2970976634026"",""97.48558534352362"",""97.61098091314388"",""97.83071610540563"",""97.92505821590639"",""97.95630821590639"",""98.05065032640715"""
"70,""80.802798754785"",""72.70971669869073"",""80.80279875478502"",""84.64642819905566"",""87.34230007298507"",""89.57183445789953"",""90.50582391229872"",""91.5122734110848"",""92.4848295276822"",""93.49051193827547"",""94.24541608948869"",""94.89266350894442"",""95.50367904434218"",""95.79249892011858"",""95.97210182164828"",""96.29533640168611"",""96.43922501750153"",""96.90790845584401"",""97.0877720184101"",""97.26685732159613"",""97.44672088416225"",""97.5538637413051"",""97.7694378658564"",""97.84164097293595"",""97.87735525865024"",""97.98527265144408"""
"60,""80.99089635854341"",""72.99334733893556"",""80.99089635854344"",""84.88340336134453"",""87.35399159663866"",""89.5297619047619"",""90.4093137254902"",""91.3312324929972"",""92.25280112044818"",""93.38235294117646"",""94.01085434173667"",""94.72303921568627"",""95.39285714285714"",""95.72829131652661"",""95.89565826330532"",""96.18872549019608"",""96.31442577030812"",""96.81757703081232"",""96.98529411764706"",""97.15266106442577"",""97.36204481792717"",""97.48704481792717"",""97.65476190476191"",""97.7387955182073"",""97.78046218487395"",""97.86414565826331"""
"50,""82.1949494949495"",""74.70303030303029"",""82.1949494949495"",""86.06616161616161"",""88.42979797979798"",""90.59040404040404"",""91.39545454545456"",""92.30252525252524"",""93.0070707070707"",""93.86010101010102"",""94.46464646464648"",""94.96767676767679"",""95.67171717171718"",""95.97424242424242"",""96.12525252525252"",""96.42727272727272"",""96.57828282828284"",""97.13232323232322"",""97.28333333333333"",""97.43383838383838"",""97.58484848484848"",""97.68484848484847"",""97.78585858585858"",""97.88686868686867"",""97.93686868686868"",""97.93686868686868"""
"40,""83.68275316455694"",""76.59098101265823"",""83.68275316455694"",""87.19541139240508"",""89.45569620253164"",""91.5253164556962"",""92.0886075949367"",""92.77848101265822"",""93.46914556962025"",""94.22231012658227"",""94.59889240506328"",""95.03718354430379"",""95.72705696202532"",""95.98022151898734"",""96.10522151898734"",""96.41930379746836"",""96.60680379746836"",""97.1115506329114"",""97.29984177215191"",""97.48734177215191"",""97.67563291139241"",""97.80063291139241"",""97.86313291139241"",""97.98892405063292"",""98.05142405063292"",""98.05142405063292"""
"30,""84.41666666666666"",""76.99999999999999"",""84.41666666666666"",""87.58333333333333"",""89.83333333333334"",""91.6666666666667"",""92.16666666666667"",""92.75000000000003"",""93.41666666666667"",""94"",""94.41666666666666"",""94.91666666666666"",""95.58333333333333"",""95.91666666666666"",""96.08333333333331"",""96.41666666666666"",""96.5"",""97.16666666666666"",""97.25"",""97.33333333333333"",""97.58333333333333"",""97.75"",""97.83333333333333"",""97.91666666666666"",""98"",""98"""
"20,""86"",""78.75"",""86"",""89.25"",""90.625"",""92.375"",""92.875"",""93.5"",""94.375"",""94.625"",""95"",""95.5"",""96"",""96.375"",""96.625"",""97"",""97.125"",""97.75"",""97.875"",""97.875"",""98.125"",""98.125"",""98.125"",""98.25"",""98.25"",""98.25"""
"10,""85.25"",""78.25"",""85.25"",""89.25"",""90.5"",""92.25"",""92.75"",""93.75"",""94.75"",""95"",""95.75"",""96.75"",""97.75"",""98"",""98"",""98.5"",""98.75"",""99.5"",""99.75"",""99.75"",""100"",""100"",""100"",""100"",""100"",""100"""
