"% Kept,""Avg top 1% Recall"",""Recall@1"",""Recall@2"",""Recall@3"",""Recall@4"",""Recall@5"",""Recall@6"",""Recall@7"",""Recall@8"",""Recall@9"",""Recall@10"",""Recall@11"",""Recall@12"",""Recall@13"",""Recall@14"",""Recall@15"",""Recall@16"",""Recall@17"",""Recall@18"",""Recall@19"",""Recall@20"",""Recall@21"",""Recall@22"",""Recall@23"",""Recall@24"",""Recall@25"""
"100,""96.25934341771752"",""88.50545522395964"",""93.43282605794245"",""95.26596248789612"",""96.2998783035839"",""96.93624825404818"",""97.42062590132956"",""97.75226243360784"",""97.99163356003646"",""98.20032007682266"",""98.35720056149984"",""98.50932796029753"",""98.63773080691095"",""98.74344157971193"",""98.85372658618613"",""98.91653600662701"",""98.98190281523905"",""99.03987209929275"",""99.09908063269047"",""99.15018328180315"",""99.18450590616904"",""99.22968610448913"",""99.27807264272866"",""99.30634342441428"",""99.34830379148022"",""99.36845901660531"""
"90,""96.26834043363515"",""88.47422555834564"",""93.44869137925885"",""95.27714988945995"",""96.30448478834312"",""96.9599996215841"",""97.45248659519697"",""97.79030129754425"",""98.02931317519729"",""98.24433895205662"",""98.40167525667462"",""98.5523179218939"",""98.68032513476176"",""98.79079214407372"",""98.9004728850584"",""98.9665831246972"",""99.03013592023005"",""99.08719089347"",""99.14733950823626"",""99.18235727112658"",""99.21154328725338"",""99.25617118690106"",""99.30250800855173"",""99.33385010423721"",""99.38039787710866"",""99.40270682657113"""
"80,""96.4360861657051"",""88.63720749221758"",""93.62669181957565"",""95.45169319938243"",""96.4670407253866"",""97.11865991764073"",""97.6077008670565"",""97.93979452258041"",""98.170944392296"",""98.36536553504831"",""98.51589594037164"",""98.65902704599573"",""98.7814858302195"",""98.87978652833958"",""98.98331391454715"",""99.04155002406374"",""99.1018315914179"",""99.15833587967323"",""99.2160957064841"",""99.2414336202418"",""99.2721053194366"",""99.31434629181571"",""99.35085859960292"",""99.3798629496949"",""99.4263529028999"",""99.44532400424734"""
"70,""96.41216090228409"",""88.48992598492111"",""93.53369502973342"",""95.3875602366279"",""96.44760372244022"",""97.1208532350609"",""97.60071383424085"",""97.9329967585662"",""98.16575815753802"",""98.37944604619985"",""98.52535182107069"",""98.65774331417443"",""98.77737447797607"",""98.87849071282874"",""98.97903054028957"",""99.03234204612042"",""99.08596557613808"",""99.13996259875256"",""99.1934190167096"",""99.22005338022588"",""99.25518912708287"",""99.29669408033041"",""99.32980337040598"",""99.36061445548158"",""99.40712177419547"",""99.42475884336876"""
"60,""96.39111864676572"",""88.59915351182974"",""93.59917682468155"",""95.37668825894868"",""96.41639865978769"",""97.0688804269867"",""97.54284917456116"",""97.86882200495472"",""98.11083345848148"",""98.32269354517267"",""98.45912190944826"",""98.59210743597754"",""98.71303813799105"",""98.81017909930982"",""98.90946602308206"",""98.95899907452183"",""99.01645908245965"",""99.06587728298186"",""99.11780636160844"",""99.14883447086048"",""99.18493157716016"",""99.22301109940163"",""99.24627823507979"",""99.27942233476637"",""99.33128491584723"",""99.34907656133663"""
"50,""96.52506009405"",""89.0013651248513"",""93.83589754464467"",""95.5778875917743"",""96.54555734060797"",""97.17672049095702"",""97.6243425185903"",""97.93947321952676"",""98.1569970123836"",""98.36114577860394"",""98.48020074694334"",""98.60239647599187"",""98.7150096696883"",""98.81910655529363"",""98.91365086556377"",""98.96711995368167"",""99.02029357162331"",""99.06286729231348"",""99.11554728273242"",""99.13332637388461"",""99.16508319100907"",""99.195824815434"",""99.22036322216195"",""99.25073395849546"",""99.29683911617259"",""99.31808889382656"""
"40,""96.46795443696071"",""89.23235710890677"",""93.92017405254292"",""95.60607979333648"",""96.48985494013878"",""97.12351849559957"",""97.56799036222979"",""97.88586349595863"",""98.10625843404515"",""98.28964487984672"",""98.40783476552784"",""98.53336486476523"",""98.63330560081832"",""98.7363632701243"",""98.82738616279399"",""98.8786301392129"",""98.93274649700308"",""98.97301517077268"",""99.02273511894369"",""99.03748629829113"",""99.0688811819096"",""99.1028941976977"",""99.12985949888538"",""99.15941893104558"",""99.21672489479235"",""99.24315676582474"""
"30,""96.60672010675641"",""89.5033124080778"",""94.19835068515374"",""95.79762167253028"",""96.62656671458915"",""97.28184906739602"",""97.67171552414915"",""97.9995532046383"",""98.24051160347229"",""98.4046089602759"",""98.49725280481762"",""98.5717181204807"",""98.6531160192281"",""98.75982874923274"",""98.8448117171783"",""98.88850999830652"",""98.93057144062372"",""98.95964007629183"",""98.99574672692658"",""99.00986838338221"",""99.03086869740032"",""99.05546033886853"",""99.07559277811117"",""99.10470189520643"",""99.16013594369728"",""99.18490333449095"""
"20,""96.80345923320597"",""89.97838005623368"",""94.52550032612845"",""96.01461581939387"",""96.81077880574296"",""97.37061397017058"",""97.69605754173307"",""98.0074462720293"",""98.23015317424725"",""98.38161153597548"",""98.45879877208326"",""98.52255585458097"",""98.61333369798251"",""98.73237546913334"",""98.80051023292026"",""98.85881162667894"",""98.89109094156694"",""98.90591307595429"",""98.9296538279559"",""98.9501143769022"",""98.97448855345029"",""98.98130332788125"",""98.98953784698533"",""99.01840833237756"",""99.05732367727627"",""99.09423703877734"""
"10,""95.93308124681643"",""89.73773070363973"",""93.83449307609393"",""95.10080252422154"",""95.93308124681646"",""96.51636078019477"",""96.80796229462236"",""97.10470359679844"",""97.31517247574558"",""97.49752635375161"",""97.60336254654432"",""97.68740893493852"",""97.79154393037786"",""97.9384350827038"",""98.02939484757663"",""98.10279970359018"",""98.13573778000652"",""98.16538204878123"",""98.16538204878123"",""98.20584882837846"",""98.22231786658664"",""98.23549309715317"",""98.25196213536134"",""98.26513736592787"",""98.31039513845836"",""98.3828589065743"""
