"% Kept,""Avg top 1% Recall"",""Recall@1"",""Recall@2"",""Recall@3"",""Recall@4"",""Recall@5"",""Recall@6"",""Recall@7"",""Recall@8"",""Recall@9"",""Recall@10"",""Recall@11"",""Recall@12"",""Recall@13"",""Recall@14"",""Recall@15"",""Recall@16"",""Recall@17"",""Recall@18"",""Recall@19"",""Recall@20"",""Recall@21"",""Recall@22"",""Recall@23"",""Recall@24"",""Recall@25"""
"100,""86.55495495495497"",""71.77477477477478"",""81.24504504504505"",""86.55495495495495"",""88.77477477477478"",""90.727027027027"",""91.87207207207207"",""92.67837837837837"",""93.82162162162163"",""94.35765765765765"",""94.82702702702703"",""95.0954954954955"",""95.4972972972973"",""95.83243243243244"",""96.23603603603604"",""96.5063063063063"",""96.64144144144143"",""96.97657657657658"",""97.37927927927929"",""97.44594594594597"",""97.7153153153153"",""97.85045045045045"",""98.05135135135134"",""98.11891891891892"",""98.18558558558559"",""98.31981981981983"""
"90,""86.7910447761194"",""71.29170324846356"",""81.07769973661104"",""86.79104477611939"",""89.01997366110622"",""91.02611940298507"",""92.21685689201055"",""93.03226514486393"",""94.07265144863916"",""94.66417910447763"",""95.10864793678665"",""95.25680421422297"",""95.62664618086038"",""95.99648814749779"",""96.44205443371376"",""96.6659350307287"",""96.81518876207198"",""97.18503072870938"",""97.6294995610184"",""97.70302897278312"",""97.9258121158911"",""98.00043898156274"",""98.2221246707638"",""98.29675153643544"",""98.37028094820015"",""98.5184372256365"""
"80,""86.25"",""70.75"",""80.75000000000001"",""86.24999999999999"",""88.66666666666667"",""90.75"",""92.00000000000001"",""92.83333333333333"",""93.66666666666667"",""94.33333333333334"",""94.83333333333333"",""95"",""95.33333333333334"",""95.75"",""96.16666666666667"",""96.41666666666667"",""96.58333333333334"",""96.91666666666667"",""97.41666666666667"",""97.5"",""97.75000000000001"",""97.83333333333334"",""98.08333333333334"",""98.16666666666666"",""98.24999999999999"",""98.41666666666666"""
"70,""86.06313497822931"",""69.74600870827285"",""80.04354136429608"",""86.0631349782293"",""88.45065312046442"",""90.64949201741656"",""91.79970972423804"",""92.65965166908566"",""93.5214078374456"",""94.28156748911468"",""94.75689404934688"",""94.94738751814224"",""95.32837445573297"",""95.80370101596517"",""96.28265602322207"",""96.47496371552975"",""96.66727140783745"",""96.95210449927431"",""97.42924528301887"",""97.52358490566039"",""97.81023222060958"",""97.90638606676342"",""98.1912191582003"",""98.28737300435414"",""98.38171262699566"",""98.57220609579102"""
"60,""85.33333333333334"",""69.44444444444443"",""79.55555555555556"",""85.33333333333334"",""87.66666666666666"",""89.99999999999997"",""91.11111111111111"",""92.11111111111111"",""93.00000000000001"",""93.66666666666667"",""94.22222222222221"",""94.33333333333333"",""94.77777777777777"",""95.33333333333333"",""95.7777777777778"",""96.00000000000001"",""96.22222222222224"",""96.55555555555557"",""97.11111111111111"",""97.11111111111111"",""97.44444444444444"",""97.55555555555557"",""97.8888888888889"",""98.00000000000001"",""98.11111111111111"",""98.33333333333334"""
"50,""85.26315789473684"",""69.35988620199146"",""79.64793741109528"",""85.26315789473682"",""87.54267425320054"",""90.08890469416784"",""91.43314366998575"",""92.23684210526315"",""93.17923186344237"",""93.84423897581793"",""94.50924608819346"",""94.50924608819346"",""95.04267425320059"",""95.57610241820768"",""95.9815078236131"",""96.25177809388336"",""96.3869132290185"",""96.65362731152206"",""97.3221906116643"",""97.3221906116643"",""97.72403982930298"",""97.85917496443811"",""98.12588904694168"",""98.26102418207681"",""98.39260312944523"",""98.65931721194879"""
"40,""84.16666666666666"",""69.16666666666667"",""79.16666666666667"",""84.16666666666666"",""85.99999999999999"",""88.66666666666666"",""90.16666666666667"",""91.16666666666667"",""92.16666666666667"",""93"",""93.66666666666666"",""93.66666666666666"",""94.33333333333334"",""95"",""95.16666666666667"",""95.5"",""95.66666666666666"",""96"",""96.83333333333334"",""96.83333333333334"",""97.33333333333334"",""97.5"",""97.83333333333333"",""98"",""98"",""98.33333333333334"""
"30,""84.7826086956522"",""69.56521739130434"",""79.78260869565217"",""84.7826086956522"",""86.73913043478262"",""88.9130434782609"",""90.43478260869568"",""91.52173913043481"",""92.60869565217394"",""93.2608695652174"",""94.13043478260872"",""94.13043478260872"",""95.00000000000003"",""95.86956521739133"",""95.86956521739133"",""96.30434782608697"",""96.5217391304348"",""96.5217391304348"",""96.73913043478262"",""96.73913043478262"",""97.17391304347828"",""97.17391304347828"",""97.60869565217392"",""97.82608695652175"",""97.82608695652175"",""98.2608695652174"""
"20,""84.33333333333333"",""71.66666666666666"",""79.99999999999997"",""84.33333333333333"",""86"",""88.33333333333334"",""89.66666666666666"",""91"",""92"",""92.66666666666666"",""93.66666666666666"",""93.66666666666666"",""94.66666666666666"",""95.66666666666666"",""95.66666666666666"",""96.33333333333333"",""96.33333333333333"",""96.33333333333333"",""96.66666666666666"",""96.66666666666666"",""96.99999999999997"",""96.99999999999997"",""97.66666666666666"",""97.99999999999999"",""97.99999999999999"",""97.99999999999999"""
"10,""81.25"",""70.625"",""76.875"",""81.25"",""83.125"",""86.25"",""87.5"",""89.375"",""90.625"",""91.25"",""93.125"",""93.125"",""93.125"",""93.75"",""93.75"",""94.375"",""94.375"",""94.375"",""95"",""95"",""95.625"",""95.625"",""96.25"",""96.25"",""96.25"",""96.25"""
