"% Kept,""Avg top 1% Recall"",""Recall@1"",""Recall@2"",""Recall@3"",""Recall@4"",""Recall@5"",""Recall@6"",""Recall@7"",""Recall@8"",""Recall@9"",""Recall@10"",""Recall@11"",""Recall@12"",""Recall@13"",""Recall@14"",""Recall@15"",""Recall@16"",""Recall@17"",""Recall@18"",""Recall@19"",""Recall@20"",""Recall@21"",""Recall@22"",""Recall@23"",""Recall@24"",""Recall@25"""
"100,""92.78721278721278"",""81.05144855144853"",""87.55827505827504"",""90.46203796203795"",""92.78721278721281"",""94.01182151182152"",""95.10656010656012"",""95.81585081585084"",""96.20129870129873"",""96.52264402264406"",""96.84565434565437"",""97.29437229437231"",""97.6806526806527"",""97.93872793872795"",""98.13103563103564"",""98.25924075924077"",""98.32334332334332"",""98.45238095238096"",""98.517316017316"",""98.58141858141857"",""98.58141858141857"",""98.58141858141857"",""98.7096237096237"",""98.77455877455877"",""98.77455877455877"",""98.77455877455877"""
"90,""92.49597585513078"",""81.01106639839034"",""87.45472837022133"",""90.22132796780686"",""92.4959758551308"",""93.70020120724345"",""94.90342052313882"",""95.61267605633802"",""96.03621730382292"",""96.3189134808853"",""96.60362173038229"",""97.09657947686118"",""97.52112676056336"",""97.80482897384304"",""98.01609657947685"",""98.1569416498994"",""98.22736418511067"",""98.29879275653924"",""98.37022132796781"",""98.44064386317908"",""98.44064386317908"",""98.44064386317908"",""98.58148893360162"",""98.6529175050302"",""98.6529175050302"",""98.6529175050302"""
"80,""91.85611879160265"",""80.66564260112649"",""86.81131592421916"",""89.69150025601638"",""91.85611879160265"",""93.21428571428571"",""94.49180747567843"",""95.21121351766513"",""95.68868407578086"",""96.0074244751664"",""96.32872503840245"",""96.80491551459292"",""97.28366615463389"",""97.60368663594471"",""97.84178187403994"",""98.0005120327701"",""98.07987711213518"",""98.16052227342551"",""98.24116743471583"",""98.32053251408091"",""98.32053251408091"",""98.32053251408091"",""98.47926267281107"",""98.5599078341014"",""98.5599078341014"",""98.5599078341014"""
"70,""92.68013468013467"",""82.32828282828282"",""88.09090909090907"",""90.84006734006732"",""92.68013468013467"",""93.68686868686869"",""94.87710437710437"",""95.6111111111111"",""96.15824915824915"",""96.43265993265992"",""96.70875420875419"",""97.16329966329964"",""97.52861952861952"",""97.80303030303027"",""97.98484848484847"",""98.16666666666664"",""98.25757575757572"",""98.25757575757572"",""98.35016835016833"",""98.44107744107744"",""98.44107744107744"",""98.44107744107744"",""98.62289562289563"",""98.62289562289563"",""98.62289562289563"",""98.62289562289563"""
"60,""92.34042553191489"",""81.48936170212764"",""87.97872340425532"",""90.74468085106382"",""92.34042553191487"",""93.29787234042553"",""94.68085106382978"",""95.53191489361703"",""95.95744680851064"",""96.06382978723404"",""96.27659574468086"",""96.80851063829788"",""97.12765957446808"",""97.4468085106383"",""97.65957446808511"",""97.87234042553192"",""97.97872340425532"",""97.97872340425532"",""98.08510638297874"",""98.19148936170214"",""98.19148936170214"",""98.19148936170214"",""98.40425531914894"",""98.40425531914894"",""98.40425531914894"",""98.40425531914894"""
"50,""91.7948717948718"",""81.28205128205127"",""87.43589743589743"",""90.12820512820517"",""91.79487179487181"",""92.94871794871797"",""94.23076923076925"",""95.25641025641028"",""95.7692307692308"",""95.89743589743593"",""96.02564102564105"",""96.66666666666669"",""96.92307692307693"",""97.30769230769232"",""97.43589743589746"",""97.69230769230771"",""97.82051282051285"",""97.82051282051285"",""97.94871794871797"",""98.0769230769231"",""98.0769230769231"",""98.0769230769231"",""98.33333333333334"",""98.33333333333334"",""98.33333333333334"",""98.33333333333334"""
"40,""91.92540322580645"",""80.51915322580645"",""87.3185483870968"",""90.32762096774192"",""91.92540322580643"",""92.88306451612902"",""93.99193548387095"",""94.9445564516129"",""95.41834677419354"",""95.57459677419354"",""95.73588709677418"",""96.20463709677418"",""96.51713709677418"",""96.99092741935483"",""96.99092741935483"",""97.30342741935483"",""97.45967741935483"",""97.45967741935483"",""97.62096774193547"",""97.77721774193547"",""97.77721774193547"",""97.77721774193547"",""98.08971774193547"",""98.08971774193547"",""98.08971774193547"",""98.08971774193547"""
"30,""92.08333333333334"",""80"",""86.66666666666666"",""90.00000000000003"",""92.08333333333334"",""92.91666666666666"",""94.37499999999999"",""95.41666666666666"",""95.83333333333331"",""96.04166666666666"",""96.24999999999999"",""96.87499999999999"",""96.87499999999999"",""97.08333333333331"",""97.08333333333331"",""97.49999999999999"",""97.70833333333333"",""97.70833333333333"",""97.91666666666666"",""98.125"",""98.125"",""98.125"",""98.54166666666666"",""98.54166666666666"",""98.54166666666666"",""98.54166666666666"""
"20,""93.4375"",""79.6875"",""87.1875"",""91.5625"",""93.4375"",""94.375"",""95.625"",""96.25"",""96.5625"",""96.875"",""97.1875"",""97.5"",""97.5"",""97.8125"",""97.8125"",""98.4375"",""98.4375"",""98.4375"",""98.4375"",""98.75"",""98.75"",""98.75"",""99.0625"",""99.0625"",""99.0625"",""99.0625"""
"10,""95.625"",""83.75"",""89.375"",""93.75"",""95.625"",""96.25"",""97.5"",""98.75"",""98.75"",""98.75"",""99.375"",""99.375"",""99.375"",""99.375"",""99.375"",""99.375"",""99.375"",""99.375"",""99.375"",""99.375"",""99.375"",""99.375"",""100"",""100"",""100"",""100"""
